Lake,year,area,aphan,allo,diato,lutzea,canth,echine,pheob,pheoa,bcar,15n,13c,N,C,C.N
Pelican,2015,27.632,37.378514,461.472299,438.9014825,1479.966078,199.2320492,887.6968242,793.0720382,787.30071,751.6503583,10.25381561,-21.58970528,0.44716347,5.345690846,13.94711274
Pelican,2014,27.355,9.194634573,189.1719595,341.5852113,781.1747276,113.3159638,195.8141583,258.4821044,237.9077774,328.0122962,9.868285829,-21.36792119,0.395621092,3.937276915,11.61083125
Pelican,2013,26.912,9.07888939,93.61517302,276.6635691,591.2523148,89.97217621,246.3310255,450.8523038,318.2655377,277.8690317,10.15591236,-20.2303494,0.345324997,4.057772622,13.70902221
Pelican,2012,26.864,4.802500592,30.6143226,143.3170715,427.8002544,55.8550845,58.10583161,292.6108196,254.1916971,162.7681063,10.19776329,-19.48714459,0.303454064,3.897987354,14.98629431
Pelican,2011,27.029,4.802500592,30.6143226,143.3170715,427.8002544,55.8550845,58.10583161,292.6108196,254.1916971,162.7681063,10.19776329,-19.48714459,0.303454064,3.897987354,14.98629431
Pelican,2010,24.971,6.301691053,43.46178528,150.9283757,605.9934048,56.08292231,56.55424226,309.5582255,272.3024734,193.4711713,9.635283735,-18.95705982,0.27138684,4.160697728,17.88645074
Pelican,2009,24.539,20.4761197,59.19817923,195.2601236,1008.800369,70.18583883,64.08408854,324.7525864,348.2064956,219.2220671,9.898726568,-19.69816252,0.310808337,4.227639135,15.8690906
Pelican,2008,25.078,10.125397,64.81069676,207.1182797,784.6425546,66.4651337,66.97187292,359.8621728,361.2608118,279.0742256,9.385571009,-20.0151556,0.315960329,3.966647208,14.64663329
Pelican,2007,25.861,10.55552959,60.4834416,183.1994805,780.8653348,86.03174678,142.6417541,406.0849699,402.0698027,275.7557426,9.449261381,-21.24755472,0.357848653,4.442028625,14.48200707
Pelican,2006,25.868,43.15064307,69.99028087,173.1441063,759.5062862,100.8361778,174.6685397,504.1627218,443.8256541,373.3544767,9.672587833,-20.51723978,0.350774013,3.295630352,10.96119419
Pelican,2005,25.39,41.75877417,66.91257338,172.1862287,712.2688107,97.61143729,145.7707325,439.4475852,338.8665957,199.0847607,9.34622515,-20.37671804,0.327380702,4.189990809,14.93161502
Pelican,2004,25.87,41.75877417,66.91257338,172.1862287,712.2688107,97.61143729,145.7707325,439.4475852,338.8665957,199.0847607,9.34622515,-20.37671804,0.327380702,4.189990809,14.93161502
Pelican,2003,26.384,4.563260802,39.02072809,115.2755597,357.2609445,44.73763121,50.83698822,281.9703819,252.6258018,171.3613998,9.519777402,-20.34007998,0.282086098,3.720764211,15.38853423
Pelican,2002,26.148,19.46789339,56.64156925,169.3830042,465.5503039,73.50778815,80.08281702,557.5810862,439.8780796,299.0280249,9.217335285,-21.27152846,0.373434088,4.425617686,13.82632383
Pelican,2001,27.02,10.89771239,133.085392,331.0032021,806.6440537,91.30017139,90.64152122,673.0022386,627.1934633,365.6147535,9.780133229,-20.81580087,0.368286622,4.541819412,14.38767796
Pelican,2000,29.9475,10.89771239,133.085392,331.0032021,806.6440537,91.30017139,90.64152122,673.0022386,627.1934633,365.6147535,9.780133229,-20.81580087,0.368286622,4.541819412,14.38767796
Pelican,1999,30.8817,8.297514971,105.9777659,410.8017249,670.9118602,136.7605431,109.570079,943.7870715,613.2854061,225.0370285,9.283971437,-20.79540576,0.411103143,5.619078633,15.94634303
Pelican,1998,29.40885,8.297514971,105.9777659,410.8017249,670.9118602,136.7605431,109.570079,943.7870715,613.2854061,225.0370285,9.283971437,-20.79540576,0.411103143,5.619078633,15.94634303
Pelican,1997,30.5739,35.17259021,147.8419157,515.3692994,727.0464061,207.9585685,328.0385842,767.6408011,739.5846742,339.8741496,8.977565389,-20.17274865,0.47471601,5.589751134,13.73742657
Pelican,1996,27.8091,33.91190564,99.18910866,381.0019722,718.4591275,184.4988331,295.0809821,718.8466992,614.5988485,365.6651525,9.019270002,-21.10945444,0.456525758,6.052757045,15.46802072
Pelican,1995,20.889,33.91190564,99.18910866,381.0019722,718.4591275,184.4988331,295.0809821,718.8466992,614.5988485,365.6651525,9.019270002,-21.10945444,0.456525758,6.052757045,15.46802072
Pelican,1994,23.2668,40.77505558,115.4981783,420.101751,828.8709261,226.4352953,321.6317192,1129.115316,749.9629942,426.856023,8.948583793,-21.26154215,0.501183054,6.776128843,15.77364517
Pelican,1993,15.4737,40.77505558,115.4981783,420.101751,828.8709261,226.4352953,321.6317192,1129.115316,749.9629942,426.856023,8.948583793,-21.26154215,0.501183054,6.776128843,15.77364517
Pelican,1992,1.9935,0,125.1090492,405.5632998,762.4570456,176.4423023,233.4361152,640.4568657,425.2790825,285.0738502,8.970256085,-20.7311877,0.415104624,5.950984005,16.72545733
Pelican,1991,4.194,0,125.1090492,405.5632998,762.4570456,176.4423023,233.4361152,640.4568657,425.2790825,285.0738502,8.970256085,-20.7311877,0.415104624,5.950984005,16.72545733
Pelican,1990,0.41985,25.88539084,138.7198799,473.2858899,948.5707579,186.9592589,244.2839121,982.1211581,685.1423905,305.404235,8.959801896,-20.36209356,0.502106609,6.216190298,14.44359004
Pelican,1989,0.3105,25.88539084,138.7198799,473.2858899,948.5707579,186.9592589,244.2839121,982.1211581,685.1423905,305.404235,8.959801896,-20.36209356,0.502106609,6.216190298,14.44359004
Pelican,1988,0.0171,,,,,,,,,,,,,,
Pelican,1987,3.0672,19.17444985,147.0441845,477.1929751,631.5111794,155.490414,131.0287827,458.35113,459.4216209,270.6923748,9.002632408,-20.47351982,0.489035699,6.269592231,14.95703542
Pelican,1986,3.1635,19.17444985,147.0441845,477.1929751,631.5111794,155.490414,131.0287827,458.35113,459.4216209,270.6923748,9.002632408,-20.47351982,0.489035699,6.269592231,14.95703542
Pelican,1985,8.5509,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1984,2.4552,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1983,4.014,35.13100768,181.183384,560.8491487,939.9482351,177.907732,251.3765074,802.7780486,759.725817,364.0931726,8.746746039,-20.07222893,0.472338646,6.039871224,14.91835675
Pelican,1982,15.2568,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1981,0.027,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1980,2.1924,16.21445574,172.9263173,556.6290014,770.2014098,212.7093543,183.2546189,506.0455277,559.7605783,455.8277047,9.000561758,-19.85174108,0.479154127,6.855714386,16.69261101
Pelican,1979,10.6524,37.10772975,153.9786132,500.5049919,822.6920088,188.3428273,283.8590392,606.5885243,657.0264924,412.2614635,8.706207314,-19.62214968,0.445217745,6.046755621,15.84516408
Pelican,1978,16.7274,37.10772975,153.9786132,500.5049919,822.6920088,188.3428273,283.8590392,606.5885243,657.0264924,412.2614635,8.706207314,-19.62214968,0.445217745,6.046755621,15.84516408
Pelican,1977,21.636,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1976,22.8258,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1975,21.5784,13.72903913,106.3375316,473.1984191,965.1303731,155.5934548,205.326348,922.9465731,764.1624302,428.3531767,,,,,
Pelican,1974,9.0504,26.79140262,138.3398177,469.5258075,878.1673271,119.3000098,118.3448581,722.1079842,561.4689718,249.1876446,9.3123175,-21.33623437,0.475257998,5.853823834,14.3700078
Pelican,1973,0.9576,26.79140262,138.3398177,469.5258075,878.1673271,119.3000098,118.3448581,722.1079842,561.4689718,249.1876446,9.3123175,-21.33623437,0.475257998,5.853823834,14.3700078
Pelican,1972,11.5812,6.802801248,108.087506,425.7511769,785.2831235,105.1147323,251.434577,857.3572275,731.4408223,419.0956716,8.85279994,-21.23839511,0.450158988,6.274566079,16.2616482
